trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	6	9	7.5	1.5
2	NaN	NaN	NaN	NaN	6	9	7.5	1.5
3	NaN	NaN	NaN	NaN	6	9	7.5	1.5
4	NaN	NaN	NaN	NaN	6	9	7.5	1.5
5	NaN	NaN	NaN	NaN	6	9	7.5	1.5
6	NaN	NaN	NaN	NaN	6	9	7.5	1.5
7	NaN	NaN	NaN	NaN	6	9	7.5	1.5
8	NaN	NaN	NaN	NaN	6	9	7.5	1.5
9	NaN	NaN	NaN	NaN	6	9	7.5	1.5
10	NaN	NaN	NaN	NaN	6	9	7.5	1.5
11	NaN	NaN	NaN	NaN	6	9	7.5	1.5
12	NaN	1.0	1.0	0.0	6	9	7.5	1.5
13	1.0	1.0	1.0	0.0	7	8	7.5	0.5
14	0.5	1.0	0.75	0.25	7	8	7.5	0.5
15	0.6666666666666666	1.0	0.8333333333333333	0.16666666666666669	7	8	7.5	0.5
16	0.75	1.0	0.875	0.125	6	7	6.5	0.5
17	0.8	1.0	0.9	0.09999999999999998	6	7	6.5	0.5
18	0.8333333333333334	1.0	0.9166666666666667	0.08333333333333331	6	7	6.5	0.5
19	0.8571428571428571	1.0	0.9285714285714286	0.07142857142857145	5	6	5.5	0.5
20	0.875	1.0	0.9375	0.0625	5	7	6.0	1.0
21	0.8888888888888888	0.9	0.8944444444444444	0.005555555555555591	5	7	6.0	1.0
22	0.9	0.9090909090909091	0.9045454545454545	0.004545454545454519	5	7	6.0	1.0
23	0.9	0.9166666666666666	0.9083333333333333	0.008333333333333304	5	6	5.5	0.5
24	0.9	0.9230769230769231	0.9115384615384616	0.011538461538461553	5	6	5.5	0.5
25	0.9	0.9285714285714286	0.9142857142857144	0.01428571428571429	6	7	6.5	0.5
26	0.8181818181818182	0.8666666666666667	0.8424242424242425	0.024242424242424232	6	7	6.5	0.5
27	0.8181818181818182	0.8666666666666667	0.8424242424242425	0.024242424242424232	6	7	6.5	0.5
28	0.8181818181818182	0.8666666666666667	0.8424242424242425	0.024242424242424232	6	8	7.0	1.0
29	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
30	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
31	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
32	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
33	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
34	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
35	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
36	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
37	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
38	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
39	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
40	0.8181818181818182	0.8125	0.8153409090909092	0.002840909090909116	6	8	7.0	1.0
