trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	7	11	9.0	2.0
2	NaN	NaN	NaN	NaN	7	11	9.0	2.0
3	NaN	NaN	NaN	NaN	7	11	9.0	2.0
4	NaN	NaN	NaN	NaN	7	11	9.0	2.0
5	NaN	NaN	NaN	NaN	7	11	9.0	2.0
6	NaN	NaN	NaN	NaN	7	11	9.0	2.0
7	NaN	NaN	NaN	NaN	7	11	9.0	2.0
8	NaN	NaN	NaN	NaN	7	11	9.0	2.0
9	NaN	NaN	NaN	NaN	7	11	9.0	2.0
10	NaN	NaN	NaN	NaN	7	11	9.0	2.0
11	NaN	NaN	NaN	NaN	7	11	9.0	2.0
12	1.0	1.0	1.0	0.0	7	11	9.0	2.0
13	1.0	1.0	1.0	0.0	6	10	8.0	2.0
14	1.0	1.0	1.0	0.0	6	10	8.0	2.0
15	1.0	1.0	1.0	0.0	6	10	8.0	2.0
16	1.0	1.0	1.0	0.0	5	9	7.0	2.0
17	1.0	1.0	1.0	0.0	5	9	7.0	2.0
18	1.0	1.0	1.0	0.0	5	9	7.0	2.0
19	1.0	1.0	1.0	0.0	4	8	6.0	2.0
20	1.0	1.0	1.0	0.0	4	8	6.0	2.0
21	0.9	1.0	0.95	0.04999999999999999	5	8	6.5	1.5
22	0.9	1.0	0.95	0.04999999999999999	5	7	6.0	1.0
23	0.9	1.0	0.95	0.04999999999999999	5	8	6.5	1.5
24	0.9090909090909091	0.9230769230769231	0.916083916083916	0.006993006993007034	5	8	6.5	1.5
25	0.9166666666666666	0.9285714285714286	0.9226190476190477	0.005952380952380988	5	8	6.5	1.5
26	0.9166666666666666	0.9333333333333333	0.925	0.00833333333333336	5	7	6.0	1.0
27	0.9166666666666666	0.9375	0.9270833333333333	0.010416666666666685	4	7	5.5	1.5
28	0.9230769230769231	0.9375	0.9302884615384616	0.007211538461538436	4	7	5.5	1.5
29	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
30	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
31	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
32	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
33	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
34	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
35	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
36	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
37	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
38	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
39	0.9285714285714286	0.9411764705882353	0.9348739495798319	0.006302521008403339	4	7	5.5	1.5
40	0.9333333333333333	0.9411764705882353	0.9372549019607843	0.0039215686274509665	5	7	6.0	1.0
41	0.875	0.9444444444444444	0.9097222222222222	0.03472222222222221	5	6	5.5	0.5
42	0.8823529411764706	0.9473684210526315	0.914860681114551	0.03250773993808048	6	6	6.0	0.0
43	0.8333333333333334	0.9473684210526315	0.8903508771929824	0.05701754385964908	7	6	6.5	0.5
44	0.7894736842105263	0.95	0.8697368421052631	0.08026315789473681	7	6	6.5	0.5
45	0.8	0.9523809523809523	0.8761904761904762	0.07619047619047614	7	5	6.0	1.0
46	0.8095238095238095	0.9545454545454546	0.8820346320346321	0.07251082251082253	6	5	5.5	0.5
47	0.8181818181818182	0.9565217391304348	0.8873517786561265	0.06916996047430829	6	5	5.5	0.5
48	0.8260869565217391	0.9583333333333334	0.8922101449275363	0.06612318840579712	6	6	6.0	0.0
49	0.8333333333333334	0.92	0.8766666666666667	0.043333333333333335	5	7	6.0	1.0
50	0.84	0.8846153846153846	0.8623076923076922	0.022307692307692306	6	8	7.0	1.0
51	0.8076923076923077	0.8518518518518519	0.8297720797720798	0.022079772079772075	6	8	7.0	1.0
52	0.8076923076923077	0.8571428571428571	0.8324175824175823	0.024725274725274693	7	8	7.5	0.5
53	0.7777777777777778	0.8620689655172413	0.8199233716475096	0.04214559386973177	7	8	7.5	0.5
54	0.7857142857142857	0.8620689655172413	0.8238916256157636	0.038177339901477814	7	8	7.5	0.5
55	0.7931034482758621	0.8620689655172413	0.8275862068965517	0.03448275862068961	6	9	7.5	1.5
56	0.8	0.8333333333333334	0.8166666666666667	0.016666666666666663	6	9	7.5	1.5
57	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
58	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
59	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
60	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
61	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
62	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
63	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
64	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
65	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
66	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	6	9	7.5	1.5
67	0.8064516129032258	0.8387096774193549	0.8225806451612903	0.016129032258064557	7	9	8.0	1.0
68	0.78125	0.84375	0.8125	0.03125	7	8	7.5	0.5
69	0.7878787878787878	0.8484848484848485	0.8181818181818181	0.03030303030303033	7	8	7.5	0.5
70	0.7941176470588235	0.8529411764705882	0.8235294117647058	0.02941176470588236	6	8	7.0	1.0
71	0.8	0.8571428571428571	0.8285714285714285	0.028571428571428525	6	8	7.0	1.0
72	0.8055555555555556	0.8571428571428571	0.8313492063492063	0.025793650793650758	7	7	7.0	0.0
73	0.7837837837837838	0.8611111111111112	0.8224474474474475	0.038663663663663694	7	7	7.0	0.0
74	0.7837837837837838	0.8648648648648649	0.8243243243243243	0.04054054054054057	7	7	7.0	0.0
75	0.7894736842105263	0.868421052631579	0.8289473684210527	0.03947368421052633	7	8	7.5	0.5
76	0.7948717948717948	0.8461538461538461	0.8205128205128205	0.02564102564102566	7	8	7.5	0.5
