trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	5	8	6.5	1.5
2	NaN	NaN	NaN	NaN	5	8	6.5	1.5
3	NaN	NaN	NaN	NaN	5	8	6.5	1.5
4	NaN	NaN	NaN	NaN	5	8	6.5	1.5
5	NaN	NaN	NaN	NaN	5	8	6.5	1.5
6	NaN	NaN	NaN	NaN	5	8	6.5	1.5
7	NaN	NaN	NaN	NaN	5	8	6.5	1.5
8	NaN	NaN	NaN	NaN	5	8	6.5	1.5
9	NaN	NaN	NaN	NaN	5	8	6.5	1.5
10	NaN	NaN	NaN	NaN	5	8	6.5	1.5
11	NaN	NaN	NaN	NaN	5	8	6.5	1.5
12	NaN	1.0	1.0	0.0	6	7	6.5	0.5
13	0.0	1.0	0.5	0.5	6	7	6.5	0.5
14	0.5	1.0	0.75	0.25	6	7	6.5	0.5
15	0.5	1.0	0.75	0.25	6	6	6.0	0.0
16	0.5	1.0	0.75	0.25	6	6	6.0	0.0
17	0.6666666666666666	1.0	0.8333333333333333	0.16666666666666669	5	7	6.0	1.0
18	0.75	0.8571428571428571	0.8035714285714286	0.05357142857142855	5	7	6.0	1.0
19	0.75	0.875	0.8125	0.0625	6	7	6.5	0.5
20	0.6	0.8888888888888888	0.7444444444444445	0.14444444444444443	6	8	7.0	1.0
21	0.6666666666666666	0.8	0.7333333333333334	0.06666666666666671	6	8	7.0	1.0
22	0.7142857142857143	0.8181818181818182	0.7662337662337663	0.051948051948051965	5	8	6.5	1.5
23	0.75	0.8333333333333334	0.7916666666666667	0.041666666666666685	6	7	6.5	0.5
24	0.6666666666666666	0.8461538461538461	0.7564102564102564	0.08974358974358976	6	7	6.5	0.5
25	0.7	0.8571428571428571	0.7785714285714285	0.07857142857142857	6	8	7.0	1.0
26	0.6363636363636364	0.8	0.7181818181818183	0.08181818181818185	7	8	7.5	0.5
27	0.6363636363636364	0.8125	0.7244318181818181	0.08806818181818182	7	8	7.5	0.5
28	0.6363636363636364	0.8235294117647058	0.7299465240641712	0.09358288770053474	7	9	8.0	1.0
29	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
30	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
31	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
32	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
33	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
34	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
35	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
36	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
37	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
38	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
39	0.5833333333333334	0.7777777777777778	0.6805555555555556	0.09722222222222221	8	9	8.5	0.5
40	0.6153846153846154	0.7894736842105263	0.7024291497975709	0.08704453441295545	8	9	8.5	0.5
41	0.6428571428571429	0.8	0.7214285714285715	0.07857142857142857	7	8	7.5	0.5
42	0.6666666666666666	0.8095238095238095	0.7380952380952381	0.07142857142857145	7	8	7.5	0.5
