trial	perf_run1	perf_run2	perf_run3	perf_run4	perf_mean	perf_std	stair_run1	stair_run2	stair_run3	stair_run4	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
2	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
3	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
4	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
5	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
6	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
7	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
8	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
9	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
10	NaN	NaN	NaN	NaN	NaN	NaN	9	15	7	7	9.5	3.278719262151
11	NaN	NaN	NaN	NaN	NaN	NaN	9	14	7	8	9.5	2.692582403567252
12	1.0	1.0	1.0	0.0	0.75	0.4330127018922193	10	14	7	8	9.75	2.680951323690902
13	0.5	1.0	1.0	0.5	0.75	0.25	11	14	8	8	10.25	2.48746859276655
14	0.3333333333333333	1.0	0.5	0.6666666666666666	0.625	0.24650332429581734	11	13	9	7	10.0	2.23606797749979
15	0.3333333333333333	1.0	0.3333333333333333	0.75	0.6041666666666666	0.28489154856619464	11	13	9	7	10.0	2.23606797749979
16	0.5	1.0	0.5	0.8	0.7	0.21213203435596426	11	13	9	7	10.0	2.23606797749979
17	0.6	1.0	0.6	0.8333333333333334	0.7583333333333334	0.16894279110594412	10	12	8	8	9.5	1.6583123951777
18	0.6666666666666666	1.0	0.6666666666666666	0.7142857142857143	0.7619047619047619	0.13883218797250715	10	12	8	8	9.5	1.6583123951777
19	0.6666666666666666	1.0	0.6666666666666666	0.75	0.7708333333333333	0.13661330258962504	11	12	8	8	9.75	1.7853571071357126
20	0.5714285714285714	1.0	0.7142857142857143	0.7777777777777778	0.7658730158730158	0.15445635282562353	12	11	8	9	10.0	1.5811388300841898
21	0.5	1.0	0.7142857142857143	0.7	0.7285714285714286	0.1781423416191418	12	11	8	9	10.0	1.5811388300841898
22	0.5555555555555556	1.0	0.7142857142857143	0.7272727272727273	0.7492784992784993	0.15976435682892914	13	11	8	9	10.25	1.920286436967152
23	0.5	1.0	0.75	0.75	0.75	0.1767766952966369	13	10	7	8	9.5	2.29128784747792
24	0.5454545454545454	1.0	0.7777777777777778	0.7692307692307693	0.7731157731157731	0.16073496394043033	13	10	7	8	9.5	2.29128784747792
25	0.5833333333333334	1.0	0.8	0.7857142857142857	0.7922619047619048	0.14740167367218238	12	10	7	8	9.25	1.920286436967152
26	0.6153846153846154	1.0	0.8181818181818182	0.8	0.8083916083916085	0.13613572490669984	13	9	6	7	8.75	2.680951323690902
27	0.5714285714285714	1.0	0.8333333333333334	0.8125	0.8043154761904762	0.15283795808902687	14	9	6	7	9.0	3.082207001484488
28	0.5333333333333333	1.0	0.8333333333333334	0.8125	0.7947916666666667	0.1675335528168744	14	9	6	7	9.0	3.082207001484488
29	0.5333333333333333	1.0	0.8461538461538461	0.8235294117647058	0.8007541478129714	0.16866582855472076	15	8	6	7	9.0	3.5355339059327378
30	0.5	1.0	0.8461538461538461	0.8333333333333334	0.7948717948717949	0.18243909577894496	15	8	6	6	8.75	3.6996621467371855
31	0.47058823529411764	1.0	0.8461538461538461	0.8421052631578947	0.7897118361514647	0.19493060057718928	15	8	6	6	8.75	3.6996621467371855
32	0.4444444444444444	1.0	0.8571428571428571	0.85	0.7878968253968254	0.20712261577805127	15	7	5	7	8.5	3.840572873934304
33	0.4444444444444444	1.0	0.8666666666666667	0.8095238095238095	0.78015873015873	0.20577912705316695	15	7	5	7	8.5	3.840572873934304
34	0.47368421052631576	1.0	0.875	0.8181818181818182	0.7917165071770336	0.1950404496244548	15	8	5	8	9.0	3.6742346141747673
35	0.45	0.9583333333333334	0.8823529411764706	0.782608695652174	0.7683237425404945	0.19406208264703262	15	8	6	8	9.25	3.418698582794336
36	0.47619047619047616	0.96	0.8333333333333334	0.7916666666666666	0.7652976190476191	0.1780562708038174	15	8	7	8	9.5	3.2015621187164243
37	0.45454545454545453	0.9615384615384616	0.7894736842105263	0.8	0.7513894000736105	0.18445348949986376	15	7	7	7	9.0	3.4641016151377544
38	0.45454545454545453	0.9629629629629629	0.7894736842105263	0.8076923076923077	0.7536686023528127	0.185391040481222	15	7	7	8	9.25	3.344772040064913
39	0.43478260869565216	0.9629629629629629	0.7894736842105263	0.7777777777777778	0.7412492584117298	0.19153243990557312	15	7	7	9	9.5	3.278719262151
40	0.4583333333333333	0.9642857142857143	0.7894736842105263	0.75	0.7405231829573935	0.18178747432888456	15	7	7	10	9.75	3.2691742076555053
