	roi	ab_ground_truth_cor_mean	ab_ground_truth_cor_sem	af_ground_truth_cor_mean	af_ground_truth_cor_sem	ab_af_diff	ab_af_p_val_unilateral	ab_af_p_text_unilateral	ab_af_p_val_bilateral	ab_af_p_text_bilateral	ab_zero_diff	ab_zero_p_val_unilateral	ab_zero_p_text_unilateral	ab_zero_p_val_bilateral	ab_zero_p_text_bilateral	af_zero_diff	af_zero_p_val_unilateral	af_zero_p_text_unilateral	af_zero_p_val_bilateral	af_zero_p_text_bilateral
0	V1	0.7261783684395475	0.03996120910499101	0.539363097519135	0.027374545839915342	0.1868152709204125	0.0078125	p < 0.01	0.015625	p < 0.05	0.7261783684395475	0.00390625	p < 0.01	0.0078125	p < 0.01	0.539363097519135	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V2	0.7009749392843507	0.030114211409419476	0.6603975112208293	0.03143161009574177	0.04057742806352138	0.01953125	p < 0.05	0.0390625	p < 0.05	0.7009749392843507	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6603975112208293	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	0.7454751818088199	0.04634133887641545	0.6315167005275906	0.027901111436014234	0.11395848128122932	0.046875	p < 0.05	0.09375	p = 0.09	0.7454751818088199	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6315167005275906	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3AB	0.7662753943772921	0.02752059275208649	0.6722525071383979	0.03659731526841083	0.09402288723889418	0.01171875	p < 0.05	0.0234375	p < 0.05	0.7662753943772921	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6722525071383979	0.0	p < 0.0001	0.0	p < 0.0001
0	hMT+	0.6950613580633842	0.05194247313596988	0.6227059630412313	0.03449366422218199	0.07235539502215294	0.03125	p < 0.05	0.0625	p = 0.06	0.6950613580633842	0.0	p < 0.0001	0.0	p < 0.0001	0.6227059630412313	0.00390625	p < 0.01	0.0078125	p < 0.01
0	LO	0.7156929301435289	0.03891391757452611	0.6330009249441941	0.036113625373265734	0.08269200519933473	0.015625	p < 0.05	0.03125	p < 0.05	0.7156929301435289	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6330009249441941	0.0	p < 0.0001	0.0	p < 0.0001
0	VO	0.5916673431001274	0.06637627645123424	0.5350690497519539	0.06254938784246934	0.056598293348173456	0.01953125	p < 0.05	0.0390625	p < 0.05	0.5916673431001274	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5350690497519539	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iIPS	0.594272201469151	0.07289015273071926	0.4365813879596733	0.06890107751780718	0.15769081350947778	0.01171875	p < 0.05	0.0234375	p < 0.05	0.594272201469151	0.00390625	p < 0.01	0.0078125	p < 0.01	0.4365813879596733	0.00390625	p < 0.01	0.0078125	p < 0.01
0	sIPS	0.3478954230472339	0.07003534252806046	0.020093599157119335	0.0285309235324125	0.3278018238901146	0.00390625	p < 0.01	0.0078125	p < 0.01	0.3478954230472339	0.00390625	p < 0.01	0.0078125	p < 0.01	0.020093599157119335	0.24609375	p = 0.25	0.4921875	p = 0.49
0	iPCS	0.13126823507215435	0.05577427027352321	0.06943980072280373	0.051117956302866564	0.06182843434935062	0.10546875	p = 0.11	0.2109375	p = 0.21	0.13126823507215435	0.01953125	p < 0.05	0.0390625	p < 0.05	0.06943980072280373	0.10546875	p = 0.11	0.2109375	p = 0.21
0	sPCS	0.5557685378293431	0.06340090648772904	0.32020746867851635	0.04620818140327811	0.23556106915082675	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5557685378293431	0.00390625	p < 0.01	0.0078125	p < 0.01	0.32020746867851635	0.00390625	p < 0.01	0.0078125	p < 0.01
0	mPCS	0.41423473263659594	0.050572774514341834	0.16765003178271468	0.0422159526499682	0.24658470085388126	0.0	p < 0.0001	0.0	p < 0.0001	0.41423473263659594	0.0	p < 0.0001	0.0	p < 0.0001	0.16765003178271468	0.00390625	p < 0.01	0.0078125	p < 0.01
