subject	session	task	gaze	parameter	roi		n	r	CI95%	r2	adj_r2	p-val	BF10	power
001	01	attend-bar	Center	height	LO	pearson	5184	0.44425361766230764	[0.42 0.47]	0.19736127680604781	0.19705143749966125	1.0192957341443798e-249	3.417e+245	1.0
001	01	attend-bar	Center	height	V1	pearson	5184	-0.14655320424158325	[-0.17 -0.12]	0.021477841673475214	0.021100106812125596	2.776710371387579e-26	4.599e+22	1.0
001	01	attend-bar	Center	height	V2	pearson	5184	-0.10870957049779661	[-0.14 -0.08]	0.011817770717815411	0.011436306819231246	4.211426213452085e-15	4.1e+11	0.9999999981450284
001	01	attend-bar	Center	height	V3	pearson	5184	-0.014707317986408827	[-0.04  0.01]	0.0002163052023533446	-0.0001696371619768211	0.2897233132513843	0.03	0.18501216743776297
001	01	attend-bar	Center	height	V3AB	pearson	5184	0.28373480667372897	[0.26 0.31]	0.08050544051817836	0.08015049183665668	1.401812336546096e-96	4.45e+92	1.0
001	01	attend-bar	Center	height	VO	pearson	5184	0.4959183763772212	[0.48 0.52]	0.2459350360286192	0.2456439474495915	5.1897e-320	inf	1.0
001	01	attend-bar	Center	height	hMT+	pearson	5184	0.4367921933037614	[0.41 0.46]	0.19078742013111047	0.19047504314602304	1.5642418233513037e-240	2.283e+236	1.0
001	01	attend-bar	Center	height	iIPS	pearson	5184	0.19738981110729803	[0.17 0.22]	0.0389627375289748	0.03859175228965006	1.0647101461461977e-46	8.781e+42	1.0
001	01	attend-bar	Center	height	iPCS	pearson	5184	0.3312307993330582	[0.31 0.36]	0.10971384242681667	0.10937016894387008	5.689973625914614e-133	9.1e+128	1.0
001	01	attend-bar	Center	height	mPCS	pearson	5184	0.35232588043173074	[0.33 0.38]	0.12413352602199423	0.12379541890986223	2.2581003809726912e-151	2.121e+147	1.0
001	01	attend-bar	Center	height	sIPS	pearson	5184	0.1170581605325413	[0.09 0.14]	0.013702612947262209	0.01332187664652762	2.785213710340839e-17	5.758e+13	0.9999999999612502
001	01	attend-bar	Center	height	sPCS	pearson	5184	0.4220006059684646	[0.4  0.44]	0.17808451143775134	0.1777672308013637	5.446969538930769e-223	6.893e+218	1.0
001	01	attend-bar	Center	x	LO	pearson	5184	0.7954502196436444	[0.79 0.81]	0.6327410519311221	0.6325992804784801	0.0	inf	1.0
001	01	attend-bar	Center	x	V1	pearson	5184	0.6342664344441928	[0.62 0.65]	0.4022939098625496	0.4020631798528458	0.0	inf	1.0
001	01	attend-bar	Center	x	V2	pearson	5184	0.7725717805731308	[0.76 0.78]	0.5968671561379377	0.5967115364336868	0.0	inf	1.0
001	01	attend-bar	Center	x	V3	pearson	5184	0.7384722266009895	[0.73 0.75]	0.5453412294610233	0.5451657194164222	0.0	inf	1.0
001	01	attend-bar	Center	x	V3AB	pearson	5184	0.8794573293993986	[0.87 0.89]	0.7734451942343222	0.7733577382197437	0.0	inf	1.0
001	01	attend-bar	Center	x	VO	pearson	5184	0.8396395479201555	[0.83 0.85]	0.7049945704315631	0.704880690705808	0.0	inf	1.0
001	01	attend-bar	Center	x	hMT+	pearson	5184	0.7902716813191561	[0.78 0.8 ]	0.6245293302950059	0.6243843889054266	0.0	inf	1.0
001	01	attend-bar	Center	x	iIPS	pearson	5184	0.7311474172296766	[0.72 0.74]	0.5345765457216267	0.5343968802306873	0.0	inf	1.0
001	01	attend-bar	Center	x	iPCS	pearson	5184	0.46564892184088014	[0.44 0.49]	0.2168289184115741	0.2165265941183534	2.284922137250349e-277	1.419e+273	1.0
001	01	attend-bar	Center	x	mPCS	pearson	5184	-0.15741565201253171	[-0.18 -0.13]	0.02477968749853048	0.02440322723506716	4.069875460927265e-30	2.915e+26	1.0
001	01	attend-bar	Center	x	sIPS	pearson	5184	0.8009951912432183	[0.79 0.81]	0.6415932963947598	0.6414549421374329	0.0	inf	1.0
001	01	attend-bar	Center	x	sPCS	pearson	5184	0.42908182104688014	[0.41 0.45]	0.18411120915290688	0.18379625497771024	2.802813744688362e-231	1.308e+227	1.0
001	01	attend-bar	Left	height	LO	pearson	5184	0.2806787203784498	[0.26 0.31]	0.07878054407328403	0.07842492953712243	1.8208867750973444e-94	3.47e+90	1.0
001	01	attend-bar	Left	height	V1	pearson	5184	-0.1345254613636758	[-0.16 -0.11]	0.01809709975510983	0.017718059839941125	2.296296782109993e-22	6.07e+18	0.9999999999999964
