	roi	ab_ref_index_mean	ab_ref_index_sem	af_ref_index_mean	af_ref_index_sem	ab_af_diff	ab_af_p_val_unilateral	ab_af_p_text_unilateral	ab_af_p_val_bilateral	ab_af_p_text_bilateral	ab_zero_diff	ab_zero_p_val_unilateral	ab_zero_p_text_unilateral	ab_zero_p_val_bilateral	ab_zero_p_text_bilateral	af_zero_diff	af_zero_p_val_unilateral	af_zero_p_text_unilateral	af_zero_p_val_bilateral	af_zero_p_text_bilateral
0	V1	0.68960893411754	0.022606877061056126	0.5822575225666577	0.018619202516438633	0.10735141155088224	0.00390625	p < 0.01	0.0078125	p < 0.01	0.68960893411754	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5822575225666577	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V2	0.6568284034669865	0.027067255288344555	0.6338887510726824	0.017800833411984303	0.022939652394304066	0.12890625	p = 0.13	0.2578125	p = 0.26	0.6568284034669865	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6338887510726824	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	0.7024591796191064	0.03630314262488073	0.5863209278910864	0.036702629598101576	0.11613825172802006	0.0390625	p < 0.05	0.078125	p = 0.08	0.7024591796191064	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5863209278910864	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3AB	0.7115639966897143	0.01870063499813745	0.6376014244862198	0.02467674624366814	0.07396257220349445	0.01953125	p < 0.05	0.0390625	p < 0.05	0.7115639966897143	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6376014244862198	0.0	p < 0.0001	0.0	p < 0.0001
0	hMT+	0.6603049937577037	0.029944147637339713	0.6277492170038179	0.018145769066219668	0.03255577675388577	0.08984375	p = 0.09	0.1796875	p = 0.18	0.6603049937577037	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6277492170038179	0.00390625	p < 0.01	0.0078125	p < 0.01
0	LO	0.674701561772838	0.02694978417573645	0.6312671375430285	0.019584710285893186	0.043434424229809476	0.046875	p < 0.05	0.09375	p = 0.09	0.674701561772838	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6312671375430285	0.0	p < 0.0001	0.0	p < 0.0001
0	VO	0.6259644002482738	0.0203087599790032	0.6008247550981669	0.01654767700450966	0.025139645150106915	0.03125	p < 0.05	0.0625	p = 0.06	0.6259644002482738	0.00390625	p < 0.01	0.0078125	p < 0.01	0.6008247550981669	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iIPS	0.629652066458295	0.02832206756645523	0.5538274665362177	0.024121650609767523	0.07582459992207724	0.015625	p < 0.05	0.03125	p < 0.05	0.629652066458295	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5538274665362177	0.00390625	p < 0.01	0.0078125	p < 0.01
0	sIPS	0.539353020264455	0.016878797819087587	0.46942482314055933	0.021795565287070683	0.06992819712389564	0.00390625	p < 0.01	0.0078125	p < 0.01	0.539353020264455	0.0	p < 0.0001	0.0	p < 0.0001	0.46942482314055933	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iPCS	0.5066963039343172	0.016182430649020987	0.48657166263551804	0.01704216894292219	0.02012464129879915	0.16796875	p = 0.17	0.3359375	p = 0.34	0.5066963039343172	0.00390625	p < 0.01	0.0078125	p < 0.01	0.48657166263551804	0.0	p < 0.0001	0.0	p < 0.0001
0	sPCS	0.6049570900726853	0.021426535159920077	0.5473138768280419	0.009031975477303967	0.05764321324464339	0.01171875	p < 0.05	0.0234375	p < 0.05	0.6049570900726853	0.00390625	p < 0.01	0.0078125	p < 0.01	0.5473138768280419	0.00390625	p < 0.01	0.0078125	p < 0.01
0	mPCS	0.5649884402139614	0.01430904923946313	0.5136931900882541	0.011665058543894553	0.05129525012570735	0.01953125	p < 0.05	0.0390625	p < 0.05	0.5649884402139614	0.0	p < 0.0001	0.0	p < 0.0001	0.5136931900882541	0.00390625	p < 0.01	0.0078125	p < 0.01
