	roi	attend_task	gc_decoded_std_mean	gc_decoded_std_sem	gl_decoded_std_mean	gl_decoded_std_sem	gr_decoded_std_mean	gr_decoded_std_sem	gc_gl_diff	gc_gl_p_val_unilateral	gc_gl_p_text_unilateral	gc_gl_p_val_bilateral	gc_gl_p_text_bilateral	gc_gr_diff	gc_gr_p_val_unilateral	gc_gr_p_text_unilateral	gc_gr_p_val_bilateral	gc_gr_p_text_bilateral	gl_gr_diff	gl_gr_p_val_unilateral	gl_gr_p_text_unilateral	gl_gr_p_val_bilateral	gl_gr_p_text_bilateral
0	V1	AttendBar	2.7130953471057015	0.3410525890872121	2.726400408685089	0.3255374150947129	2.7826500494284803	0.322030914102919	-0.013305061579387267	0.4453125	p = 0.45	0.890625	p = 0.89	-0.06955470232277872	0.234375	p = 0.23	0.46875	p = 0.47	-0.05624964074339145	0.25390625	p = 0.25	0.5078125	p = 0.51
0	V2	AttendBar	2.2867576614336773	0.22531960115823246	2.4062327466738243	0.2319036689201075	2.2553345763489596	0.20419718610272072	-0.11947508524014694	0.0859375	p = 0.09	0.171875	p = 0.17	0.031423085084717695	0.265625	p = 0.27	0.53125	p = 0.53	0.15089817032486463	0.01953125	p < 0.05	0.0390625	p < 0.05
0	V3	AttendBar	2.6023285971627557	0.3088158387582208	2.588547621363724	0.28567204773884614	2.621640043116638	0.26627834483072216	0.01378097579903148	0.41015625	p = 0.41	0.8203125	p = 0.82	-0.019311445953882345	0.4140625	p = 0.41	0.828125	p = 0.83	-0.033092421752913825	0.3671875	p = 0.37	0.734375	p = 0.73
0	V3AB	AttendBar	3.659512488538157	0.3462134140183331	3.60901399302337	0.3699536503488924	3.639660905034517	0.35521035029534836	0.050498495514787134	0.25390625	p = 0.25	0.5078125	p = 0.51	0.019851583503640136	0.40234375	p = 0.40	0.8046875	p = 0.80	-0.030646912011147	0.23046875	p = 0.23	0.4609375	p = 0.46
0	hMT+	AttendBar	5.058725786192486	0.1670002689643866	5.07546614575149	0.1779299419856133	5.088566618374025	0.17635924420877044	-0.016740359559003437	0.125	p = 0.12	0.25	p = 0.25	-0.02984083218153888	0.05078125	p = 0.05	0.1015625	p = 0.10	-0.013100472622535442	0.21875	p = 0.22	0.4375	p = 0.44
0	LO	AttendBar	4.4687740822535025	0.20091672364894997	4.466687568770271	0.21422045602713644	4.4411177740642795	0.23949828476029802	0.0020865134832313004	0.47265625	p = 0.47	0.9453125	p = 0.95	0.027656308189222933	0.35546875	p = 0.36	0.7109375	p = 0.71	0.025569794705991633	0.3203125	p = 0.32	0.640625	p = 0.64
0	VO	AttendBar	4.054838863887953	0.2484594004502242	4.050194254017352	0.25222775351198634	3.9763261841891713	0.26569206337711154	0.004644609870601002	0.46484375	p = 0.46	0.9296875	p = 0.93	0.07851267969878206	0.2265625	p = 0.23	0.453125	p = 0.45	0.07386806982818106	0.16015625	p = 0.16	0.3203125	p = 0.32
0	iIPS	AttendBar	4.930847087350936	0.13473050270341982	4.974227249358211	0.12691650739735685	4.963646668436922	0.10050046432610386	-0.043380162007275125	0.0234375	p < 0.05	0.046875	p < 0.05	-0.03279958108598535	0.296875	p = 0.30	0.59375	p = 0.59	0.010580580921289773	0.4140625	p = 0.41	0.828125	p = 0.83
0	sIPS	AttendBar	5.234996200366456	0.09037103899526072	5.207096162739148	0.09634262361987898	5.2126231097920925	0.08952727018508533	0.027900037627307306	0.1015625	p = 0.10	0.203125	p = 0.20	0.022373090574363097	0.1328125	p = 0.13	0.265625	p = 0.27	-0.005526947052944209	0.4609375	p = 0.46	0.921875	p = 0.92
0	iPCS	AttendBar	5.265163034833707	0.08987857966214106	5.260430637144564	0.08983910825494339	5.242321513478915	0.108814396133095	0.004732397689142687	0.35546875	p = 0.36	0.7109375	p = 0.71	0.022841521354791894	0.2421875	p = 0.24	0.484375	p = 0.48	0.018109123665649207	0.31640625	p = 0.32	0.6328125	p = 0.63
0	sPCS	AttendBar	5.298948402820018	0.0313700183991179	5.267199487725572	0.05711315967187996	5.270166207550872	0.06281490270254629	0.03174891509444677	0.16796875	p = 0.17	0.3359375	p = 0.34	0.02878219526914627	0.2578125	p = 0.26	0.515625	p = 0.52	-0.002966719825300501	0.4453125	p = 0.45	0.890625	p = 0.89
0	mPCS	AttendBar	5.348062695271806	0.05145866902572921	5.337209452656584	0.05982978831334668	5.308945428298228	0.05139555914358516	0.010853242615222136	0.34375	p = 0.34	0.6875	p = 0.69	0.039117266973578424	0.11328125	p = 0.11	0.2265625	p = 0.23	0.028264024358356288	0.23828125	p = 0.24	0.4765625	p = 0.48
0	V1	AttendFix	2.908740610348265	0.27617656483083525	2.949524129170039	0.2766294574125057	2.8792381481048253	0.21660051975841754	-0.04078351882177378	0.3125	p = 0.31	0.625	p = 0.62	0.029502462243439886	0.36328125	p = 0.36	0.7265625	p = 0.73	0.07028598106521367	0.296875	p = 0.30	0.59375	p = 0.59
