trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	12	11	11.5	0.5
2	NaN	NaN	NaN	NaN	12	11	11.5	0.5
3	NaN	NaN	NaN	NaN	12	11	11.5	0.5
4	NaN	NaN	NaN	NaN	12	11	11.5	0.5
5	NaN	NaN	NaN	NaN	12	11	11.5	0.5
6	NaN	NaN	NaN	NaN	12	11	11.5	0.5
7	NaN	NaN	NaN	NaN	12	11	11.5	0.5
8	NaN	NaN	NaN	NaN	12	11	11.5	0.5
9	NaN	NaN	NaN	NaN	12	11	11.5	0.5
10	NaN	NaN	NaN	NaN	12	11	11.5	0.5
11	NaN	NaN	NaN	NaN	12	10	11.0	1.0
12	1.0	1.0	1.0	0.0	11	10	10.5	0.5
13	1.0	1.0	1.0	0.0	11	10	10.5	0.5
14	1.0	1.0	1.0	0.0	11	9	10.0	1.0
15	1.0	1.0	1.0	0.0	12	10	11.0	1.0
16	0.8	0.8	0.8	0.0	12	10	11.0	1.0
17	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.0	13	10	11.5	1.5
18	0.7142857142857143	0.8571428571428571	0.7857142857142857	0.0714285714285714	13	11	12.0	1.0
19	0.75	0.75	0.75	0.0	13	12	12.5	0.5
20	0.7777777777777778	0.6666666666666666	0.7222222222222222	0.05555555555555558	14	12	13.0	1.0
21	0.7	0.7	0.7	0.0	14	13	13.5	0.5
22	0.7272727272727273	0.6363636363636364	0.6818181818181819	0.04545454545454547	14	13	13.5	0.5
23	0.75	0.6666666666666666	0.7083333333333333	0.041666666666666685	15	14	14.5	0.5
24	0.6923076923076923	0.6153846153846154	0.6538461538461539	0.038461538461538436	15	15	15.0	0.0
25	0.7142857142857143	0.5714285714285714	0.6428571428571428	0.07142857142857145	15	15	15.0	0.0
26	0.6666666666666666	0.6	0.6333333333333333	0.033333333333333326	15	15	15.0	0.0
27	0.625	0.5625	0.59375	0.03125	15	15	15.0	0.0
28	0.5882352941176471	0.5294117647058824	0.5588235294117647	0.02941176470588236	15	15	15.0	0.0
29	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
30	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
31	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
32	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
33	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
34	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
35	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
36	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
37	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
38	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
39	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.0	15	15	15.0	0.0
40	0.5789473684210527	0.5555555555555556	0.5672514619883041	0.011695906432748537	15	15	15.0	0.0
41	0.55	0.5789473684210527	0.5644736842105263	0.014473684210526305	15	15	15.0	0.0
42	0.5714285714285714	0.55	0.5607142857142857	0.010714285714285676	15	15	15.0	0.0
43	0.5909090909090909	0.5714285714285714	0.5811688311688312	0.009740259740259771	14	15	14.5	0.5
44	0.6086956521739131	0.5909090909090909	0.599802371541502	0.008893280632411071	14	14	14.0	0.0
45	0.625	0.6086956521739131	0.6168478260869565	0.008152173913043459	14	14	14.0	0.0
46	0.625	0.625	0.625	0.0	14	14	14.0	0.0
47	0.625	0.64	0.6325000000000001	0.007500000000000007	15	13	14.0	1.0
48	0.6	0.6538461538461539	0.6269230769230769	0.02692307692307694	15	14	14.5	0.5
49	0.6153846153846154	0.6296296296296297	0.6225071225071226	0.007122507122507116	15	14	14.5	0.5
50	0.6296296296296297	0.6428571428571429	0.6362433862433863	0.006613756613756627	14	14	14.0	0.0
51	0.6428571428571429	0.6551724137931034	0.6490147783251232	0.00615763546798026	14	13	13.5	0.5
52	0.6551724137931034	0.6666666666666666	0.6609195402298851	0.005747126436781602	14	13	13.5	0.5
53	0.6666666666666666	0.6774193548387096	0.6720430107526881	0.005376344086021501	14	13	13.5	0.5
54	0.6666666666666666	0.6875	0.6770833333333333	0.010416666666666685	14	12	13.0	1.0
55	0.6666666666666666	0.696969696969697	0.6818181818181819	0.015151515151515194	13	12	12.5	0.5
56	0.6774193548387096	0.7058823529411765	0.6916508538899431	0.014231499051233443	13	12	12.5	0.5
57	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
58	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
59	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
60	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
61	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
62	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
63	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
64	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
65	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
66	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	12	12.5	0.5
67	0.6875	0.7142857142857143	0.7008928571428572	0.01339285714285715	13	13	13.0	0.0
68	0.6875	0.6944444444444444	0.6909722222222222	0.00347222222222221	13	14	13.5	0.5
69	0.6875	0.6756756756756757	0.6815878378378378	0.005912162162162171	13	14	13.5	0.5
70	0.6875	0.6842105263157895	0.6858552631578947	0.0016447368421052544	13	14	13.5	0.5
71	0.6875	0.6923076923076923	0.6899038461538461	0.0024038461538461453	13	13	13.0	0.0
72	0.696969696969697	0.7	0.6984848484848485	0.0015151515151514694	14	13	13.5	0.5
73	0.6764705882352942	0.7073170731707317	0.6918938307030129	0.015423242467718756	15	13	14.0	1.0
74	0.6571428571428571	0.7142857142857143	0.6857142857142857	0.02857142857142858	15	12	13.5	1.5
75	0.6666666666666666	0.7209302325581395	0.693798449612403	0.027131782945736427	15	12	13.5	1.5
76	0.6486486486486487	0.7272727272727273	0.687960687960688	0.039312039312039304	15	12	13.5	1.5
77	0.6486486486486487	0.7333333333333333	0.690990990990991	0.0423423423423423	15	13	14.0	1.0
78	0.631578947368421	0.717391304347826	0.6744851258581235	0.04290617848970252	15	13	14.0	1.0
79	0.6153846153846154	0.723404255319149	0.6693944353518821	0.05400981996726678	15	13	14.0	1.0
80	0.625	0.7291666666666666	0.6770833333333333	0.052083333333333315	15	14	14.5	0.5
81	0.6341463414634146	0.7142857142857143	0.6742160278745645	0.04006968641114983	15	14	14.5	0.5
82	0.6341463414634146	0.72	0.6770731707317073	0.042926829268292666	15	14	14.5	0.5
