trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	15	13	14.0	1.0
2	NaN	NaN	NaN	NaN	15	13	14.0	1.0
3	NaN	NaN	NaN	NaN	15	13	14.0	1.0
4	NaN	NaN	NaN	NaN	15	13	14.0	1.0
5	NaN	NaN	NaN	NaN	15	13	14.0	1.0
6	NaN	NaN	NaN	NaN	15	13	14.0	1.0
7	NaN	NaN	NaN	NaN	15	13	14.0	1.0
8	NaN	NaN	NaN	NaN	15	13	14.0	1.0
9	NaN	NaN	NaN	NaN	15	13	14.0	1.0
10	NaN	NaN	NaN	NaN	15	13	14.0	1.0
11	NaN	NaN	NaN	NaN	15	13	14.0	1.0
12	0.0	1.0	0.5	0.5	15	12	13.5	1.5
13	0.5	1.0	0.75	0.25	15	12	13.5	1.5
14	0.6666666666666666	1.0	0.8333333333333333	0.16666666666666669	14	12	13.0	1.0
15	0.75	1.0	0.875	0.125	14	11	12.5	1.5
16	0.8	1.0	0.9	0.09999999999999998	14	11	12.5	1.5
17	0.8333333333333334	1.0	0.9166666666666667	0.08333333333333331	15	11	13.0	2.0
18	0.7142857142857143	1.0	0.8571428571428572	0.14285714285714285	15	10	12.5	2.5
19	0.75	1.0	0.875	0.125	15	11	13.0	2.0
20	0.7777777777777778	0.8888888888888888	0.8333333333333333	0.055555555555555525	14	12	13.0	1.0
21	0.8	0.8	0.8	0.0	14	12	13.0	1.0
22	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.0	14	12	13.0	1.0
23	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.0	13	11	12.0	1.0
24	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.0	13	11	12.0	1.0
25	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.0	13	11	12.0	1.0
26	0.8666666666666667	0.8666666666666667	0.8666666666666667	0.0	12	10	11.0	1.0
27	0.875	0.875	0.875	0.0	12	11	11.5	0.5
28	0.8823529411764706	0.8235294117647058	0.8529411764705882	0.02941176470588236	12	11	11.5	0.5
29	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
30	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
31	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
32	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
33	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
34	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
35	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
36	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
37	0.8888888888888888	0.8333333333333334	0.8611111111111112	0.027777777777777735	12	11	11.5	0.5
