	roi	ab_rsqrt_mean	ab_rsqrt_sem	af_rsqrt_mean	af_rsqrt_sem	ab_af_diff	ab_af_p_val_unilateral	ab_af_p_text_unilateral	ab_af_p_val_bilateral	ab_af_p_text_bilateral
0	V1	0.16381021388926165	0.01725766299344797	0.13410584326754962	0.017908384109163282	0.029704370621712023	0.0	p < 0.0001	0.0	p < 0.0001
0	V2	0.12607174311540234	0.01608695142938054	0.08419003295713541	0.011927975173763749	0.04188171015826693	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	0.13074774904897707	0.015314209857082295	0.08020195489027171	0.01231105300140137	0.05054579415870536	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3AB	0.14658090175093252	0.01502489317261364	0.09383510059355553	0.013007696351271268	0.052745801157376995	0.00390625	p < 0.01	0.0078125	p < 0.01
0	hMT+	0.10669674328997583	0.009528320066129766	0.08368474470012899	0.008555694874552853	0.023011998589846844	0.00390625	p < 0.01	0.0078125	p < 0.01
0	LO	0.12320073730747441	0.011926921666500919	0.10973983658140701	0.015325722870777079	0.013460900726067399	0.0546875	p = 0.05	0.109375	p = 0.11
0	VO	0.09701926878699715	0.01109981754094579	0.07440541825110547	0.011704265576784967	0.022613850535891683	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iIPS	0.08446858139227667	0.00975601497838317	0.0667289760469846	0.009093746380491319	0.017739605345292064	0.0078125	p < 0.01	0.015625	p < 0.05
0	sIPS	0.059495579647018515	0.005040648201519358	0.04587022103290955	0.0037113044470982104	0.013625358614108962	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iPCS	0.06183230525885286	0.008847235318233585	0.05067905847660818	0.006854826794951826	0.011153246782244677	0.00390625	p < 0.01	0.0078125	p < 0.01
0	sPCS	0.05678026091770686	0.00489623063766857	0.04377204495562174	0.004122489333072789	0.013008215962085123	0.0	p < 0.0001	0.0	p < 0.0001
0	mPCS	0.04158053887232084	0.0047917705589374665	0.0348423852541892	0.004515473124501911	0.00673815361813164	0.00390625	p < 0.01	0.0078125	p < 0.01
