subject	roi	r2	ecc	sd	x	y	amplitude	baseline	rank_fs_r2
sub-008	V1	0.514033317565918	2.910325765609741	1.3899387121200562	2.834596633911133	-0.6595900058746338	8.11689387774095e-05	-0.30489006638526917	101.0
sub-008	V1	0.5901920795440674	3.4286434650421143	1.3907064199447632	3.177351474761963	-1.2884228229522705	9.40034442464821e-05	-0.34111112356185913	75.0
sub-008	V1	0.5088095664978027	3.3702003955841064	1.5571274757385254	2.9156229496002197	-1.6903825998306274	7.081790681695566e-05	-0.3226228952407837	164.0
sub-008	V1	0.537930428981781	3.506603717803955	1.750009298324585	2.941239595413208	-1.9092878103256226	6.912187382113189e-05	-0.3905826807022095	155.0
sub-008	V1	0.5506699085235596	3.5149660110473633	1.738284945487976	3.0164859294891357	-1.8043835163116455	6.864189344923943e-05	-0.38445526361465454	176.0
sub-008	V1	0.5468904972076416	3.0390145778656006	1.3957648277282715	2.979853630065918	-0.5967249870300293	9.28946683416143e-05	-0.3486102819442749	122.0
sub-008	V1	0.6462475061416626	3.3407320976257324	1.5705968141555786	3.189901828765869	-0.9924807548522949	8.772093860898167e-05	-0.4117327928543091	73.0
sub-008	V1	0.5856446027755737	3.4787468910217285	1.7525240182876587	3.2838821411132812	-1.1479535102844238	7.057337643345818e-05	-0.40974074602127075	111.0
sub-008	V1	0.42085713148117065	1.6120672225952148	1.2296512126922607	1.3322495222091675	0.9076738357543945	9.084351040655747e-05	-0.32157638669013977	223.0
sub-008	V1	0.4908410906791687	3.375380516052246	1.7325812578201294	2.2731175422668457	-2.4952216148376465	6.181634671520442e-05	-0.33269020915031433	160.0
sub-008	V1	0.5733526945114136	3.7865052223205566	1.7297396659851074	2.409059762954712	-2.9213101863861084	7.86792952567339e-05	-0.39754927158355713	130.0
sub-008	V1	0.5791618824005127	3.360933542251587	1.7315870523452759	2.450197696685791	-2.300522804260254	7.447119423886761e-05	-0.40649187564849854	157.0
sub-008	V1	0.608111560344696	3.6275668144226074	1.7356030941009521	2.670804500579834	-2.4548001289367676	8.007335418369621e-05	-0.42862585186958313	105.0
sub-008	V1	0.5304173231124878	3.5652236938476562	1.7378766536712646	2.6258270740509033	-2.4116077423095703	6.784687138861045e-05	-0.36640071868896484	212.0
sub-008	V1	0.5351552367210388	2.6231210231781006	1.391261100769043	2.522695302963257	-0.718868613243103	8.396336488658562e-05	-0.3244278132915497	96.0
sub-008	V1	0.48685330152511597	2.9610226154327393	1.4042727947235107	2.5375351905822754	-1.5259650945663452	7.369561353698373e-05	-0.27999070286750793	127.0
sub-008	V1	0.5353586673736572	3.6372647285461426	1.7401434183120728	3.0257177352905273	-2.0185952186584473	6.269865843933076e-05	-0.34655439853668213	181.0
sub-008	V1	0.5504695177078247	3.87911319732666	1.7389957904815674	3.054776430130005	-2.3907864093780518	7.222671411000192e-05	-0.3860321044921875	166.0
sub-008	V1	0.5830386877059937	3.5886833667755127	1.736119270324707	2.893861770629883	-2.1223127841949463	7.627898594364524e-05	-0.41836419701576233	129.0
sub-008	V1	0.4924134612083435	3.566376209259033	1.736545443534851	2.916928768157959	-2.051966667175293	6.00473940721713e-05	-0.331077516078949	206.0
sub-008	V1	0.7059785723686218	3.1012439727783203	1.400194764137268	3.0077219009399414	-0.7558586597442627	0.00011284756328677759	-0.42433494329452515	37.0
sub-008	V1	0.6893866062164307	3.516270637512207	1.5658713579177856	3.3170273303985596	-1.1668283939361572	8.899640670279041e-05	-0.41067448258399963	31.0
sub-008	V1	0.5308903455734253	3.8600900173187256	1.9350444078445435	3.4567017555236816	-1.7179956436157227	5.659174348693341e-05	-0.3849082887172699	211.0
sub-008	V1	0.6095003485679626	3.4490578174591064	1.5590198040008545	3.397418260574341	-0.5945994853973389	8.762006473261863e-05	-0.40378472208976746	103.0
sub-008	V1	0.5965709090232849	3.807767152786255	1.5602222681045532	3.7033934593200684	-0.8854190111160278	8.013810293050483e-05	-0.36356526613235474	94.0
sub-008	V1	0.4745359420776367	2.2810306549072266	1.2332847118377686	2.2719767093658447	0.20303373038768768	9.496420534560457e-05	-0.29851964116096497	220.0
sub-008	V1	0.6624557971954346	1.5617039203643799	1.225913643836975	1.2457492351531982	0.9418216347694397	0.0001285355247091502	-0.45714521408081055	59.0
