trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	7	3	5.0	2.0
2	NaN	NaN	NaN	NaN	7	3	5.0	2.0
3	NaN	NaN	NaN	NaN	7	3	5.0	2.0
4	NaN	NaN	NaN	NaN	7	3	5.0	2.0
5	NaN	NaN	NaN	NaN	7	3	5.0	2.0
6	NaN	NaN	NaN	NaN	7	3	5.0	2.0
7	NaN	NaN	NaN	NaN	7	3	5.0	2.0
8	NaN	NaN	NaN	NaN	7	3	5.0	2.0
9	NaN	NaN	NaN	NaN	7	3	5.0	2.0
10	NaN	NaN	NaN	NaN	7	3	5.0	2.0
11	NaN	NaN	NaN	NaN	6	3	4.5	1.5
12	1.0	NaN	1.0	0.0	6	3	4.5	1.5
13	1.0	1.0	1.0	0.0	6	4	5.0	1.0
14	1.0	0.5	0.75	0.25	5	4	4.5	0.5
15	1.0	0.6666666666666666	0.8333333333333333	0.16666666666666669	5	4	4.5	0.5
16	1.0	0.75	0.875	0.125	5	3	4.0	1.0
17	1.0	0.8	0.9	0.09999999999999998	4	4	4.0	0.0
18	1.0	0.6666666666666666	0.8333333333333333	0.16666666666666669	4	4	4.0	0.0
19	1.0	0.7142857142857143	0.8571428571428572	0.14285714285714285	4	5	4.5	0.5
20	1.0	0.625	0.8125	0.1875	3	5	4.0	1.0
21	1.0	0.6666666666666666	0.8333333333333333	0.16666666666666669	4	5	4.5	0.5
22	0.9090909090909091	0.7	0.8045454545454545	0.10454545454545455	4	4	4.0	0.0
23	0.9166666666666666	0.7272727272727273	0.821969696969697	0.09469696969696967	4	5	4.5	0.5
24	0.9230769230769231	0.6666666666666666	0.7948717948717949	0.12820512820512825	3	5	4.0	1.0
25	0.9285714285714286	0.6923076923076923	0.8104395604395604	0.11813186813186816	3	6	4.5	1.5
26	0.9333333333333333	0.6428571428571429	0.7880952380952382	0.14523809523809522	4	7	5.5	1.5
27	0.875	0.6	0.7375	0.1375	4	8	6.0	2.0
28	0.8823529411764706	0.5625	0.7224264705882353	0.15992647058823528	4	8	6.0	2.0
29	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
30	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
31	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
32	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
33	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
34	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
35	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
36	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
37	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
38	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	4	8	6.0	2.0
39	0.8888888888888888	0.5882352941176471	0.738562091503268	0.15032679738562088	5	8	6.5	1.5
40	0.8421052631578947	0.6111111111111112	0.7266081871345029	0.11549707602339176	6	7	6.5	0.5
41	0.8	0.631578947368421	0.7157894736842105	0.08421052631578951	6	7	6.5	0.5
42	0.8095238095238095	0.631578947368421	0.7205513784461153	0.08897243107769426	6	7	6.5	0.5
43	0.8181818181818182	0.65	0.7340909090909091	0.0840909090909091	5	7	6.0	1.0
44	0.8260869565217391	0.6666666666666666	0.7463768115942029	0.07971014492753625	5	6	5.5	0.5
45	0.8333333333333334	0.6818181818181818	0.7575757575757576	0.0757575757575758	5	6	5.5	0.5
46	0.84	0.6956521739130435	0.7678260869565217	0.07217391304347825	4	6	5.0	1.0
47	0.8461538461538461	0.7083333333333334	0.7772435897435898	0.06891025641025639	4	5	4.5	0.5
48	0.8518518518518519	0.72	0.7859259259259259	0.06592592592592594	4	6	5.0	1.0
