trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	7	5	6.0	1.0
2	NaN	NaN	NaN	NaN	7	5	6.0	1.0
3	NaN	NaN	NaN	NaN	7	5	6.0	1.0
4	NaN	NaN	NaN	NaN	7	5	6.0	1.0
5	NaN	NaN	NaN	NaN	7	5	6.0	1.0
6	NaN	NaN	NaN	NaN	7	5	6.0	1.0
7	NaN	NaN	NaN	NaN	7	5	6.0	1.0
8	NaN	NaN	NaN	NaN	7	5	6.0	1.0
9	NaN	NaN	NaN	NaN	7	5	6.0	1.0
10	NaN	NaN	NaN	NaN	7	5	6.0	1.0
11	NaN	NaN	NaN	NaN	8	4	6.0	2.0
12	0.0	1.0	0.5	0.5	8	4	6.0	2.0
13	0.5	1.0	0.75	0.25	8	4	6.0	2.0
14	0.6666666666666666	1.0	0.8333333333333333	0.16666666666666669	7	3	5.0	2.0
15	0.75	1.0	0.875	0.125	7	3	5.0	2.0
16	0.8	1.0	0.9	0.09999999999999998	7	3	5.0	2.0
17	0.8333333333333334	1.0	0.9166666666666667	0.08333333333333331	6	2	4.0	2.0
18	0.8571428571428571	1.0	0.9285714285714286	0.07142857142857145	6	3	4.5	1.5
19	0.875	0.875	0.875	0.0	6	4	5.0	1.0
20	0.8888888888888888	0.7777777777777778	0.8333333333333333	0.055555555555555525	5	5	5.0	0.0
21	0.9	0.7	0.8	0.10000000000000003	5	5	5.0	0.0
22	0.9090909090909091	0.7272727272727273	0.8181818181818181	0.09090909090909088	5	5	5.0	0.0
23	0.9166666666666666	0.75	0.8333333333333333	0.08333333333333331	4	4	4.0	0.0
24	0.9230769230769231	0.7692307692307693	0.8461538461538463	0.07692307692307693	5	4	4.5	0.5
25	0.8571428571428571	0.7857142857142857	0.8214285714285714	0.0357142857142857	5	4	4.5	0.5
26	0.8666666666666667	0.8	0.8333333333333334	0.033333333333333326	5	3	4.0	1.0
27	0.875	0.8125	0.84375	0.03125	6	4	5.0	1.0
28	0.8235294117647058	0.7647058823529411	0.7941176470588235	0.02941176470588236	6	4	5.0	1.0
29	0.8333333333333334	0.7777777777777778	0.8055555555555556	0.02777777777777779	6	4	5.0	1.0
