trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	2	5	3.5	1.5
2	NaN	NaN	NaN	NaN	2	5	3.5	1.5
3	NaN	NaN	NaN	NaN	2	5	3.5	1.5
4	NaN	NaN	NaN	NaN	2	5	3.5	1.5
5	NaN	NaN	NaN	NaN	2	5	3.5	1.5
6	NaN	NaN	NaN	NaN	2	5	3.5	1.5
7	NaN	NaN	NaN	NaN	2	5	3.5	1.5
8	NaN	NaN	NaN	NaN	2	5	3.5	1.5
9	NaN	NaN	NaN	NaN	2	5	3.5	1.5
10	NaN	NaN	NaN	NaN	2	5	3.5	1.5
11	NaN	NaN	NaN	NaN	2	6	4.0	2.0
12	NaN	0.0	0.0	0.0	3	6	4.5	1.5
13	0.0	0.5	0.25	0.25	3	6	4.5	1.5
14	0.5	0.6666666666666666	0.5833333333333333	0.08333333333333331	3	6	4.5	1.5
15	0.6666666666666666	0.75	0.7083333333333333	0.041666666666666685	2	5	3.5	1.5
16	0.75	0.8	0.775	0.025000000000000022	2	5	3.5	1.5
17	0.8	0.8333333333333334	0.8166666666666667	0.016666666666666663	2	4	3.0	1.0
18	0.8333333333333334	0.8571428571428571	0.8452380952380952	0.011904761904761862	2	4	3.0	1.0
19	0.8571428571428571	0.875	0.8660714285714286	0.008928571428571452	3	4	3.5	0.5
20	0.75	0.8888888888888888	0.8194444444444444	0.06944444444444442	3	3	3.0	0.0
21	0.7777777777777778	0.9	0.8388888888888889	0.061111111111111116	3	4	3.5	0.5
22	0.8	0.8181818181818182	0.8090909090909091	0.009090909090909094	2	5	3.5	1.5
23	0.8181818181818182	0.75	0.7840909090909092	0.034090909090909116	2	5	3.5	1.5
24	0.8333333333333334	0.7692307692307693	0.8012820512820513	0.03205128205128205	2	5	3.5	1.5
25	0.8461538461538461	0.7857142857142857	0.8159340659340659	0.030219780219780223	2	5	3.5	1.5
26	0.8571428571428571	0.7857142857142857	0.8214285714285714	0.0357142857142857	3	5	4.0	1.0
27	0.8	0.7857142857142857	0.7928571428571429	0.007142857142857173	4	4	4.0	0.0
