trial	perf_run1	perf_run2	perf_run3	perf_run4	perf_mean	perf_std	stair_run1	stair_run2	stair_run3	stair_run4	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
2	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
3	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
4	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
5	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
6	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
7	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
8	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
9	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
10	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
11	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
12	NaN	NaN	NaN	NaN	NaN	NaN	9	10	5	6	7.5	2.0615528128088303
13	1.0	1.0	NaN	1.0	1.0	0.0	10	10	5	7	8.0	2.1213203435596424
14	0.5	1.0	1.0	0.5	0.75	0.25	10	9	6	7	8.0	1.5811388300841898
15	0.6666666666666666	1.0	0.5	0.6666666666666666	0.7083333333333333	0.18162078931419473	10	9	7	8	8.5	1.118033988749895
16	0.75	1.0	0.3333333333333333	0.5	0.6458333333333334	0.2525907427704613	9	9	8	8	8.5	0.5
17	0.8	1.0	0.25	0.6	0.6625	0.27698149757700424	9	8	9	9	8.75	0.4330127018922193
18	0.8333333333333334	1.0	0.2	0.5	0.6333333333333334	0.3082207001484488	9	8	10	10	9.25	0.82915619758885
19	0.8571428571428571	1.0	0.16666666666666666	0.42857142857142855	0.613095238095238	0.3326417144678064	9	8	10	10	9.25	0.82915619758885
20	0.75	1.0	0.2857142857142857	0.5	0.6339285714285714	0.2677082919743741	10	7	10	10	9.25	1.299038105676658
21	0.7777777777777778	1.0	0.375	0.5555555555555556	0.6770833333333333	0.2347540658872968	10	7	9	9	8.75	1.0897247358851685
22	0.8	1.0	0.4444444444444444	0.6	0.7111111111111111	0.20905430802474198	9	8	10	9	9.0	0.7071067811865476
23	0.8181818181818182	0.9090909090909091	0.4	0.6363636363636364	0.6909090909090909	0.19455395053666089	9	8	10	9	9.0	0.7071067811865476
24	0.8333333333333334	0.9166666666666666	0.45454545454545453	0.6666666666666666	0.7178030303030303	0.17664475343592037	10	8	11	8	9.25	1.299038105676658
25	0.7692307692307693	0.9230769230769231	0.4166666666666667	0.6923076923076923	0.7003205128205128	0.1836387428344642	10	7	11	8	9.0	1.5811388300841898
26	0.7857142857142857	0.9285714285714286	0.46153846153846156	0.7142857142857143	0.7225274725274726	0.16928517036268018	10	7	11	8	9.0	1.5811388300841898
27	0.8	0.9333333333333333	0.5	0.7142857142857143	0.736904761904762	0.15748069744583687	9	8	10	8	8.75	0.82915619758885
28	0.8125	0.875	0.5333333333333333	0.7142857142857143	0.7337797619047619	0.12913057360000113	9	8	10	8	8.75	0.82915619758885
29	0.8235294117647058	0.8823529411764706	0.5625	0.7142857142857143	0.7456670168067228	0.1217379733928517	9	8	10	9	9.0	0.7071067811865476
30	0.8333333333333334	0.8888888888888888	0.5882352941176471	0.6666666666666666	0.744281045751634	0.12167169624043993	8	8	9	9	8.5	0.5
31	0.8421052631578947	0.8888888888888888	0.6111111111111112	0.6875	0.7574013157894737	0.11263964501154024	8	7	9	9	8.25	0.82915619758885
32	0.85	0.8947368421052632	0.631578947368421	0.7058823529411765	0.7705495356037152	0.10633617951674369	8	7	10	8	8.25	1.0897247358851685
33	0.8571428571428571	0.9	0.6	0.7222222222222222	0.7698412698412699	0.11797933380400777	9	7	10	8	8.5	1.118033988749895
34	0.8181818181818182	0.9047619047619048	0.6190476190476191	0.7368421052631579	0.769708361813625	0.10531854735231554	9	6	10	8	8.25	1.479019945774904
35	0.8260869565217391	0.9090909090909091	0.6363636363636364	0.75	0.7803853754940712	0.10039830834349998	9	7	11	9	9.0	1.4142135623730951
36	0.8333333333333334	0.8695652173913043	0.6086956521739131	0.7142857142857143	0.7564699792960663	0.10285338113614155	10	8	11	10	9.75	1.0897247358851685
37	0.8	0.8333333333333334	0.625	0.6818181818181818	0.7350378787878787	0.08488631292846649	10	8	11	10	9.75	1.0897247358851685
38	0.8076923076923077	0.84	0.64	0.6956521739130435	0.7458361204013378	0.08125997937790988	10	8	12	10	10.0	1.4142135623730951
39	0.8148148148148148	0.8461538461538461	0.6153846153846154	0.7083333333333334	0.7461716524216525	0.09116648267756182	9	7	12	9	9.25	1.7853571071357126
40	0.8214285714285714	0.8518518518518519	0.6296296296296297	0.72	0.7557275132275132	0.08765507540067614	10	7	12	9	9.5	1.8027756377319946
41	0.7931034482758621	0.8571428571428571	0.6428571428571429	0.7307692307692307	0.7559681697612732	0.07912717170913681	10	7	13	9	9.75	2.165063509461097
42	0.8	0.8620689655172413	0.6206896551724138	0.7407407407407407	0.755874840357599	0.08906219343337408	11	6	13	8	9.5	2.692582403567252
43	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
44	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
45	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
46	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
47	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
48	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
49	0.7741935483870968	0.8666666666666667	0.6333333333333333	0.75	0.7560483870967742	0.08315830995741094	11	6	13	8	9.5	2.692582403567252
