trial	perf_run1	perf_run2	perf_run3	perf_run4	perf_mean	perf_std	stair_run1	stair_run2	stair_run3	stair_run4	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
2	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
3	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
4	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
5	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
6	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
7	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
8	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
9	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
10	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	3	4.5	2.598076211353316
11	NaN	NaN	NaN	NaN	NaN	NaN	9	3	3	4	4.75	2.48746859276655
12	1.0	NaN	NaN	0.0	0.5	0.5	9	3	2	4	4.5	2.692582403567252
13	1.0	1.0	1.0	0.5	0.875	0.21650635094610965	8	3	3	4	4.5	2.0615528128088303
14	1.0	1.0	0.5	0.3333333333333333	0.7083333333333334	0.2975595178559521	8	2	4	5	4.75	2.165063509461097
15	1.0	1.0	0.3333333333333333	0.5	0.7083333333333334	0.2975595178559521	8	3	4	5	5.0	1.8708286933869707
16	1.0	0.75	0.5	0.6	0.7125	0.18833148966649205	7	3	5	5	5.0	1.4142135623730951
17	1.0	0.8	0.4	0.6666666666666666	0.7166666666666667	0.21794494717703367	7	4	5	4	5.0	1.224744871391589
18	1.0	0.6666666666666666	0.5	0.6666666666666666	0.7083333333333333	0.18162078931419473	7	5	5	4	5.25	1.0897247358851685
19	1.0	0.5714285714285714	0.5714285714285714	0.7142857142857143	0.7142857142857143	0.1749635530559413	7	6	4	4	5.25	1.299038105676658
20	1.0	0.5	0.625	0.75	0.71875	0.184877493221863	7	6	5	3	5.25	1.479019945774904
21	1.0	0.5555555555555556	0.5555555555555556	0.7777777777777778	0.7222222222222222	0.1842569327975222	6	6	5	3	5.0	1.224744871391589
22	1.0	0.6	0.6	0.8	0.75	0.16583123951777	6	5	5	3	4.75	1.0897247358851685
23	1.0	0.6363636363636364	0.6363636363636364	0.8181818181818182	0.7727272727272727	0.15075567228888181	6	5	4	4	4.75	0.82915619758885
24	1.0	0.6666666666666666	0.6666666666666666	0.75	0.7708333333333333	0.13661330258962504	6	6	4	4	5.0	1.0
25	1.0	0.6153846153846154	0.6923076923076923	0.7692307692307693	0.7692307692307692	0.14390989949130542	5	6	4	4	4.75	0.82915619758885
26	1.0	0.6428571428571429	0.7142857142857143	0.7692307692307693	0.7815934065934066	0.13382110368446953	5	6	3	4	4.5	1.118033988749895
27	1.0	0.6666666666666666	0.7333333333333333	0.7692307692307693	0.7923076923076923	0.1254315364988206	5	5	3	4	4.25	0.82915619758885
28	1.0	0.6875	0.75	0.7692307692307693	0.8016826923076923	0.1184183999095165	6	5	3	4	4.5	1.118033988749895
29	0.9333333333333333	0.7058823529411765	0.75	0.7692307692307693	0.7896116138763197	0.08609730042628883	6	5	3	4	4.5	1.118033988749895
30	0.9375	0.7222222222222222	0.75	0.7692307692307693	0.7947382478632479	0.0841005858124441	7	5	3	4	4.75	1.479019945774904
31	0.8823529411764706	0.7222222222222222	0.75	0.7857142857142857	0.7850723622782446	0.06050647444139712	7	5	3	3	4.5	1.6583123951777
32	0.8888888888888888	0.6842105263157895	0.75	0.8	0.7807748538011696	0.0747161491889506	7	6	3	3	4.75	1.7853571071357126
33	0.8947368421052632	0.6842105263157895	0.7647058823529411	0.8125	0.7890383126934984	0.07632752101012846	6	6	3	3	4.5	1.5
34	0.9	0.6842105263157895	0.7222222222222222	0.8235294117647058	0.7824905400756794	0.08482908316542061	6	6	4	4	5.0	1.0
35	0.9	0.6842105263157895	0.7222222222222222	0.7777777777777778	0.7710526315789473	0.08154540382295171	6	7	5	5	5.75	0.82915619758885
36	0.9047619047619048	0.65	0.6842105263157895	0.7368421052631579	0.7439536340852131	0.09786010173199051	6	7	5	5	5.75	0.82915619758885
37	0.9090909090909091	0.6666666666666666	0.7	0.75	0.7564393939393939	0.0929899169568797	5	7	6	5	5.75	0.82915619758885
38	0.9130434782608695	0.6818181818181818	0.6666666666666666	0.75	0.7528820816864294	0.0976513632765009	5	6	6	5	5.5	0.5
39	0.9166666666666666	0.6956521739130435	0.6818181818181818	0.75	0.7610342555994729	0.09339861498196367	5	6	6	5	5.5	0.5
40	0.9166666666666666	0.7083333333333334	0.6956521739130435	0.75	0.7676630434782609	0.08834540546854604	5	6	5	5	5.25	0.4330127018922193
41	0.9166666666666666	0.72	0.7083333333333334	0.75	0.77375	0.08390119023126084	5	6	5	5	5.25	0.4330127018922193
42	0.92	0.7307692307692307	0.72	0.7619047619047619	0.7831684981684981	0.08048439096837587	4	5	5	5	4.75	0.4330127018922193
43	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
44	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
45	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
46	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
47	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
48	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
49	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
50	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
51	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
52	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	5	5	4.75	0.4330127018922193
53	0.9230769230769231	0.7407407407407407	0.7307692307692307	0.7619047619047619	0.7891229141229141	0.07815128179874255	4	5	6	4	4.75	0.82915619758885
54	0.9230769230769231	0.75	0.7037037037037037	0.7727272727272727	0.7873769748769748	0.08219997608626996	4	4	6	4	4.5	0.8660254037844386
55	0.9230769230769231	0.7586206896551724	0.7142857142857143	0.782608695652174	0.7946480056674959	0.07809448954277232	5	4	6	5	5.0	0.7071067811865476
56	0.8888888888888888	0.7666666666666667	0.7241379310344828	0.75	0.7824233716475095	0.063308071621585	5	4	5	5	4.75	0.4330127018922193
57	0.8928571428571429	0.7741935483870968	0.7333333333333333	0.76	0.7900960061443933	0.06111568945802262	5	5	5	5	5.0	0.0
58	0.896551724137931	0.75	0.7419354838709677	0.7692307692307693	0.7894294943099169	0.06263690339420455	4	5	5	4	4.5	0.5
59	0.9	0.7575757575757576	0.75	0.7777777777777778	0.7963383838383838	0.06070422920626019	5	5	4	5	4.75	0.4330127018922193
60	0.8709677419354839	0.7647058823529411	0.7575757575757576	0.75	0.7858123454660457	0.049438733085702694	6	4	4	6	5.0	1.0
61	0.84375	0.7714285714285715	0.7647058823529411	0.7241379310344828	0.7760055962039988	0.04309347869667564	6	5	4	6	5.25	0.82915619758885
62	0.8484848484848485	0.75	0.7714285714285715	0.7333333333333333	0.7758116883116883	0.04407735761797589	6	5	3	6	5.0	1.224744871391589
63	0.8529411764705882	0.7567567567567568	0.7777777777777778	0.7419354838709677	0.7823527987190226	0.04269767731935607	5	5	3	5	4.5	0.8660254037844386
64	0.8571428571428571	0.7631578947368421	0.7837837837837838	0.75	0.7885211339158708	0.041408196787387885	5	4	3	5	4.25	0.82915619758885
65	0.8611111111111112	0.7692307692307693	0.7837837837837838	0.7575757575757576	0.7929253554253555	0.04044716644456235	5	4	3	6	4.5	1.118033988749895
