trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	6	2	4.0	2.0
2	NaN	NaN	NaN	NaN	6	2	4.0	2.0
3	NaN	NaN	NaN	NaN	6	2	4.0	2.0
4	NaN	NaN	NaN	NaN	6	2	4.0	2.0
5	NaN	NaN	NaN	NaN	6	2	4.0	2.0
6	NaN	NaN	NaN	NaN	6	2	4.0	2.0
7	NaN	NaN	NaN	NaN	6	2	4.0	2.0
8	NaN	NaN	NaN	NaN	6	2	4.0	2.0
9	NaN	NaN	NaN	NaN	6	2	4.0	2.0
10	NaN	NaN	NaN	NaN	6	2	4.0	2.0
11	NaN	NaN	NaN	NaN	6	3	4.5	1.5
12	1.0	0.0	0.5	0.5	6	4	5.0	1.0
13	1.0	0.0	0.5	0.5	5	5	5.0	0.0
14	1.0	0.0	0.5	0.5	5	5	5.0	0.0
15	1.0	0.25	0.625	0.375	5	6	5.5	0.5
16	1.0	0.2	0.6	0.4	4	6	5.0	1.0
17	1.0	0.3333333333333333	0.6666666666666666	0.33333333333333337	4	6	5.0	1.0
18	1.0	0.42857142857142855	0.7142857142857143	0.28571428571428575	4	5	4.5	0.5
19	1.0	0.5	0.75	0.25	5	6	5.5	0.5
20	0.8888888888888888	0.4444444444444444	0.6666666666666666	0.2222222222222222	5	6	5.5	0.5
21	0.9	0.5	0.7	0.2	5	6	5.5	0.5
22	0.9090909090909091	0.5454545454545454	0.7272727272727273	0.18181818181818182	4	5	4.5	0.5
23	0.9166666666666666	0.5833333333333334	0.75	0.16666666666666663	4	5	4.5	0.5
24	0.9230769230769231	0.6153846153846154	0.7692307692307693	0.15384615384615385	5	5	5.0	0.0
25	0.8571428571428571	0.6428571428571429	0.75	0.1071428571428571	5	4	4.5	0.5
26	0.8666666666666667	0.6666666666666666	0.7666666666666666	0.10000000000000003	5	4	4.5	0.5
27	0.875	0.6875	0.78125	0.09375	4	4	4.0	0.0
28	0.8823529411764706	0.7058823529411765	0.7941176470588236	0.08823529411764702	4	3	3.5	0.5
29	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
30	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
31	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
32	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
33	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
34	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
35	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
36	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
37	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
38	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	3	3.5	0.5
39	0.8888888888888888	0.7222222222222222	0.8055555555555556	0.08333333333333331	4	4	4.0	0.0
40	0.8947368421052632	0.6842105263157895	0.7894736842105263	0.10526315789473684	3	5	4.0	1.0
41	0.9	0.65	0.775	0.125	3	6	4.5	1.5
42	0.9047619047619048	0.6190476190476191	0.7619047619047619	0.14285714285714285	4	6	5.0	1.0
43	0.8636363636363636	0.6363636363636364	0.75	0.11363636363636365	4	6	5.0	1.0
44	0.8695652173913043	0.6521739130434783	0.7608695652173914	0.10869565217391303	4	5	4.5	0.5
45	0.875	0.6666666666666666	0.7708333333333333	0.10416666666666669	3	5	4.0	1.0
46	0.88	0.68	0.78	0.09999999999999998	3	5	4.0	1.0
47	0.8846153846153846	0.6923076923076923	0.7884615384615384	0.09615384615384615	4	6	5.0	1.0
48	0.8518518518518519	0.6666666666666666	0.7592592592592593	0.09259259259259262	4	7	5.5	1.5
49	0.8571428571428571	0.6428571428571429	0.75	0.1071428571428571	5	8	6.5	1.5
50	0.8275862068965517	0.6206896551724138	0.7241379310344828	0.10344827586206895	5	8	6.5	1.5
51	0.8333333333333334	0.6333333333333333	0.7333333333333334	0.10000000000000003	5	8	6.5	1.5
52	0.8387096774193549	0.6451612903225806	0.7419354838709677	0.09677419354838712	4	7	5.5	1.5
53	0.84375	0.65625	0.75	0.09375	4	7	5.5	1.5
54	0.8484848484848485	0.6666666666666666	0.7575757575757576	0.09090909090909094	4	8	6.0	2.0
55	0.8529411764705882	0.6470588235294118	0.75	0.1029411764705882	3	8	5.5	2.5
56	0.8571428571428571	0.6571428571428571	0.7571428571428571	0.09999999999999998	3	8	5.5	2.5
57	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
58	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
59	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
60	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
61	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
62	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
63	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
64	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
65	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
66	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	8	5.5	2.5
67	0.8611111111111112	0.6666666666666666	0.7638888888888888	0.09722222222222227	3	7	5.0	2.0
68	0.8648648648648649	0.6756756756756757	0.7702702702702703	0.09459459459459463	2	7	4.5	2.5
69	0.868421052631579	0.6842105263157895	0.7763157894736843	0.09210526315789475	2	8	5.0	3.0
70	0.8717948717948718	0.6666666666666666	0.7692307692307692	0.10256410256410259	2	8	5.0	3.0
71	0.875	0.675	0.775	0.09999999999999998	3	8	5.5	2.5
72	0.8536585365853658	0.6829268292682927	0.7682926829268293	0.08536585365853655	3	7	5.0	2.0
73	0.8571428571428571	0.6904761904761905	0.7738095238095237	0.08333333333333331	3	7	5.0	2.0
74	0.8604651162790697	0.6976744186046512	0.7790697674418605	0.08139534883720928	2	7	4.5	2.5
75	0.8636363636363636	0.7045454545454546	0.7840909090909092	0.07954545454545453	2	6	4.0	2.0
76	0.8666666666666667	0.7111111111111111	0.788888888888889	0.07777777777777778	3	6	4.5	1.5
77	0.8478260869565217	0.717391304347826	0.7826086956521738	0.06521739130434784	4	6	5.0	1.0
