subject	roi	r2	ecc	sd	x	y	amplitude	baseline	rank_fs_r2
sub-002	V1	0.23038983345031738	1.7236064672470093	3.7593371868133545	0.5925453901290894	-1.6185516119003296	1.3891865819459781e-05	-0.29914093017578125	199.0
sub-002	V1	0.28829532861709595	2.1164937019348145	5.20424747467041	0.1920812875032425	-2.107759714126587	1.2928134310641326e-05	-0.394225537776947	207.0
sub-002	V1	0.24925017356872559	3.0469155311584473	2.990333318710327	2.7486519813537598	-1.3147647380828857	2.136248440365307e-05	-0.32443487644195557	218.0
sub-002	V1	0.2550000548362732	3.2761974334716797	3.249166965484619	2.7457423210144043	-1.787279725074768	1.7184853277285583e-05	-0.2854267358779907	243.0
sub-002	V1	0.2854483127593994	0.4514990746974945	3.7595608234405518	-0.3239678740501404	-0.31447768211364746	1.5136036381591111e-05	-0.3443867862224579	157.0
sub-002	V1	0.23719996213912964	0.956544041633606	1.5564417839050293	0.9165735840797424	0.27362263202667236	4.284982060198672e-05	-0.2509300708770752	224.0
sub-002	V1	0.3343757390975952	4.1159186363220215	3.230099678039551	3.718355894088745	-1.7648274898529053	2.5348777853650972e-05	-0.4017893075942993	97.0
sub-002	V1	0.3059117794036865	4.415193557739258	3.482869863510132	3.973829984664917	-1.9242169857025146	1.9939785488531925e-05	-0.34210890531539917	136.0
sub-002	V1	0.3778778314590454	5.034024715423584	3.480189085006714	4.760380744934082	-1.6371251344680786	2.681286059669219e-05	-0.4466407001018524	39.0
sub-002	V1	0.4059599041938782	5.351099491119385	2.9879157543182373	5.032259464263916	-1.8195137977600098	3.3034972148016095e-05	-0.4302705228328705	34.0
sub-002	V1	0.39146167039871216	9.5752534866333	4.291570663452148	9.051605224609375	-3.1231279373168945	3.593803194235079e-05	-0.39607226848602295	51.0
sub-002	V1	0.35692524909973145	8.716744422912598	3.481161594390869	8.224177360534668	-2.888692617416382	3.665339681901969e-05	-0.3509933054447174	84.0
sub-002	V1	0.3034234046936035	12.877363204956055	4.898623943328857	12.267242431640625	-3.916790246963501	5.010211680200882e-05	-0.316366970539093	112.0
