trial	perf_run1	perf_run2	perf_run3	perf_run4	perf_mean	perf_std	stair_run1	stair_run2	stair_run3	stair_run4	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
2	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
3	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
4	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
5	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
6	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
7	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
8	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
9	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
10	NaN	NaN	NaN	NaN	NaN	NaN	9	5	5	9	7.0	2.0
11	NaN	NaN	NaN	NaN	NaN	NaN	10	6	5	10	7.75	2.277608394786075
12	0.0	0.0	1.0	0.0	0.25	0.4330127018922193	10	7	4	10	7.75	2.48746859276655
13	0.5	0.0	1.0	0.5	0.5	0.3535533905932738	10	7	4	11	8.0	2.7386127875258306
14	0.6666666666666666	0.0	1.0	0.3333333333333333	0.49999999999999994	0.3726779962499649	9	7	5	11	8.0	2.23606797749979
15	0.75	0.3333333333333333	0.75	0.3333333333333333	0.5416666666666666	0.20833333333333334	9	8	5	11	8.25	2.165063509461097
16	0.8	0.25	0.8	0.3333333333333333	0.5458333333333334	0.255868618630734	9	8	6	11	8.5	1.8027756377319946
17	0.8333333333333334	0.4	0.6666666666666666	0.3333333333333333	0.5583333333333333	0.20190069065976196	8	8	6	11	8.25	1.7853571071357126
18	0.8571428571428571	0.5	0.7142857142857143	0.3333333333333333	0.6011904761904763	0.20018061572381232	8	7	6	12	8.25	2.277608394786075
19	0.875	0.5714285714285714	0.75	0.25	0.6116071428571428	0.23500128907592602	9	7	5	12	8.25	2.5860201081971503
20	0.7777777777777778	0.625	0.7777777777777778	0.4	0.6451388888888888	0.1546647983404078	9	7	6	12	8.5	2.29128784747792
21	0.8	0.6666666666666666	0.7	0.3333333333333333	0.6250000000000001	0.17539637649874326	9	6	7	14	9.0	3.082207001484488
22	0.8181818181818182	0.7	0.6363636363636364	0.2857142857142857	0.610064935064935	0.19830274731288203	8	7	8	15	9.5	3.2015621187164243
23	0.8333333333333334	0.6363636363636364	0.5833333333333334	0.25	0.5757575757575758	0.20987719965447074	8	8	8	15	9.75	3.031088913245535
24	0.8461538461538461	0.5833333333333334	0.6153846153846154	0.3333333333333333	0.594551282051282	0.18172681223928822	8	8	8	15	9.75	3.031088913245535
25	0.8571428571428571	0.6153846153846154	0.6428571428571429	0.3333333333333333	0.6121794871794872	0.1862213880998178	7	8	7	15	9.25	3.344772040064913
26	0.8666666666666667	0.6428571428571429	0.6666666666666666	0.4	0.644047619047619	0.16555325372397278	7	7	7	14	8.75	3.031088913245535
27	0.875	0.6666666666666666	0.6875	0.45454545454545453	0.6709280303030303	0.14896272797848	7	7	7	14	8.75	3.031088913245535
28	0.8823529411764706	0.6875	0.7058823529411765	0.5	0.6939338235294118	0.13536640392278343	8	7	6	14	8.75	3.112474899497183
29	0.8333333333333334	0.7058823529411765	0.7222222222222222	0.5384615384615384	0.6999748617395676	0.10535758046158883	8	6	6	13	8.25	2.8613807855648994
30	0.8421052631578947	0.7222222222222222	0.7368421052631579	0.5714285714285714	0.7181495405179616	0.0965117384813052	8	6	6	13	8.25	2.8613807855648994
31	0.85	0.7368421052631579	0.75	0.6	0.7342105263157895	0.08898862325742588	7	6	7	13	8.25	2.7726341266023544
32	0.8571428571428571	0.75	0.7142857142857143	0.625	0.7366071428571429	0.08316042861695158	8	6	7	12	8.25	2.277608394786075
33	0.8181818181818182	0.75	0.7272727272727273	0.6470588235294118	0.7356283422459894	0.06110645809354662	8	6	8	12	8.5	2.179449471770337
34	0.8260869565217391	0.75	0.6956521739130435	0.6666666666666666	0.7346014492753623	0.06070192365132794	8	5	8	12	8.25	2.48746859276655
35	0.8333333333333334	0.7619047619047619	0.7083333333333334	0.6842105263157895	0.7469454887218046	0.057256470382428315	7	5	9	11	8.0	2.23606797749979
36	0.84	0.7727272727272727	0.68	0.7	0.7481818181818183	0.06325208649745073	7	5	9	11	8.0	2.23606797749979
37	0.8461538461538461	0.7727272727272727	0.6923076923076923	0.7142857142857143	0.7563686313686313	0.05958977631419845	7	5	10	11	8.25	2.384848003542364
38	0.8518518518518519	0.782608695652174	0.6666666666666666	0.7272727272727273	0.7570999853608549	0.06836750134266016	8	6	10	10	8.5	1.6583123951777
39	0.8214285714285714	0.75	0.6785714285714286	0.7391304347826086	0.7472826086956521	0.050726453204083755	8	6	10	10	8.5	1.6583123951777
40	0.8275862068965517	0.76	0.6785714285714286	0.75	0.754039408866995	0.052811913951640733	8	6	10	10	8.5	1.6583123951777
41	0.8333333333333334	0.7307692307692307	0.6896551724137931	0.76	0.7534394341290893	0.05246057166469693	7	7	10	9	8.25	1.299038105676658
42	0.8387096774193549	0.7037037037037037	0.6896551724137931	0.7692307692307693	0.7503248306919053	0.05921075189588242	8	8	10	9	8.75	0.82915619758885
43	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
44	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
45	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
46	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
47	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
48	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
49	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
50	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
51	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
52	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
53	0.8125	0.7037037037037037	0.6666666666666666	0.7777777777777778	0.740162037037037	0.05783274239656111	8	8	11	9	9.0	1.224744871391589
54	0.8181818181818182	0.7142857142857143	0.6666666666666666	0.7857142857142857	0.7462121212121212	0.05934398259372972	8	9	11	8	9.0	1.224744871391589
55	0.8235294117647058	0.6896551724137931	0.6774193548387096	0.7931034482758621	0.7459268468232677	0.06345779622900416	7	10	11	8	9.0	1.5811388300841898
56	0.8285714285714286	0.6666666666666666	0.6875	0.8	0.7456845238095238	0.06973103773284407	7	10	10	8	8.75	1.299038105676658
57	0.8285714285714286	0.6774193548387096	0.696969696969697	0.8064516129032258	0.7523530233207654	0.06598914722068584	7	11	11	7	9.0	2.0
58	0.8285714285714286	0.65625	0.6764705882352942	0.8125	0.7434480042016807	0.07762673780092462	7	11	11	7	9.0	2.0
59	0.8285714285714286	0.6666666666666666	0.6857142857142857	0.8181818181818182	0.7497835497835499	0.07399178978308635	7	11	11	7	9.0	2.0
60	0.8333333333333334	0.6764705882352942	0.6944444444444444	0.8235294117647058	0.7569444444444444	0.07185247342974753	8	10	10	6	8.5	1.6583123951777
61	0.8108108108108109	0.6857142857142857	0.7027027027027027	0.8285714285714286	0.756949806949807	0.06334017726829948	8	10	10	6	8.5	1.6583123951777
62	0.8157894736842105	0.6944444444444444	0.7105263157894737	0.8333333333333334	0.7635233918128655	0.061615262487941136	8	10	10	7	8.75	1.299038105676658
63	0.8205128205128205	0.7027027027027027	0.717948717948718	0.8108108108108109	0.7629937629937631	0.053054170604083725	7	9	9	7	8.0	1.0
64	0.825	0.7105263157894737	0.725	0.8157894736842105	0.7690789473684211	0.05167301438383931	8	9	10	7	8.5	1.118033988749895
65	0.8048780487804879	0.717948717948718	0.7073170731707317	0.8205128205128205	0.7626641651031894	0.050475862319100055	8	9	10	6	8.25	1.479019945774904
66	0.8095238095238095	0.725	0.7142857142857143	0.825	0.7684523809523809	0.04926112222904899	8	8	10	7	8.25	1.0897247358851685
67	0.813953488372093	0.7317073170731707	0.7209302325581395	0.8048780487804879	0.7678672716959727	0.04184604207469199	8	8	9	7	8.0	0.7071067811865476
68	0.8181818181818182	0.7380952380952381	0.7272727272727273	0.8095238095238095	0.7732683982683983	0.04087916058496975	7	8	9	8	8.0	0.7071067811865476
69	0.8181818181818182	0.7441860465116279	0.7333333333333333	0.7906976744186046	0.7715997181113461	0.03446175262753464	7	7	9	9	8.0	1.0
70	0.8181818181818182	0.75	0.7391304347826086	0.7727272727272727	0.7700098814229248	0.030339146683680054	7	7	10	9	8.25	1.299038105676658
71	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
72	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
73	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
74	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
75	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
76	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
77	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
78	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
79	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
80	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	7	7	10	9	8.25	1.299038105676658
81	0.8181818181818182	0.7555555555555555	0.723404255319149	0.7777777777777778	0.7687298517085751	0.03447946389305214	8	8	10	10	9.0	1.0
82	0.8	0.7391304347826086	0.7291666666666666	0.7608695652173914	0.7572916666666667	0.02719213609987693	8	8	11	10	9.25	1.299038105676658
83	0.8043478260869565	0.7446808510638298	0.7142857142857143	0.7659574468085106	0.7573179595612529	0.03277926070685086	9	8	11	10	9.5	1.118033988749895
84	0.7872340425531915	0.75	0.72	0.7708333333333334	0.7570168439716313	0.02511701268732902	9	9	11	9	9.5	0.8660254037844386
85	0.7916666666666666	0.7346938775510204	0.7254901960784313	0.7755102040816326	0.7568402360944377	0.02754421072014932	9	9	10	9	9.25	0.4330127018922193
86	0.7959183673469388	0.74	0.7307692307692307	0.78	0.7616718995290424	0.027080371076442424	8	9	10	10	9.25	0.82915619758885
87	0.8	0.7450980392156863	0.7307692307692307	0.7647058823529411	0.7601432880844645	0.02597387874316637	9	8	10	10	9.25	0.82915619758885
88	0.7843137254901961	0.75	0.7358490566037735	0.7692307692307693	0.7598483878311847	0.018435973460419235	9	9	10	10	9.5	0.5
89	0.7843137254901961	0.7358490566037735	0.7358490566037735	0.7735849056603774	0.7573991860895302	0.02188141969161199	9	9	10	9	9.25	0.4330127018922193
90	0.7884615384615384	0.7407407407407407	0.7358490566037735	0.7777777777777778	0.7607072783959576	0.022794158887416906	9	9	10	9	9.25	0.4330127018922193
91	0.7924528301886793	0.7454545454545455	0.7358490566037735	0.7818181818181819	0.763893653516295	0.023787682785153155	8	8	10	9	8.75	0.82915619758885
92	0.7962962962962963	0.75	0.7407407407407407	0.7857142857142857	0.7681878306878307	0.023352742860044764	8	8	9	8	8.25	0.4330127018922193
93	0.7962962962962963	0.7543859649122807	0.7454545454545455	0.7894736842105263	0.7714026227184123	0.021846782396022228	8	9	9	8	8.5	0.5
94	0.8	0.7413793103448276	0.75	0.7931034482758621	0.7711206896551724	0.02572882341538516	8	9	10	8	8.75	0.82915619758885
95	0.8035714285714286	0.7457627118644068	0.7368421052631579	0.7931034482758621	0.7698199234937139	0.02892910536085058	7	9	10	8	8.5	1.118033988749895
96	0.8070175438596491	0.75	0.7413793103448276	0.7931034482758621	0.7728750756200846	0.027794547633885624	7	8	10	8	8.25	1.0897247358851685
97	0.8103448275862069	0.7540983606557377	0.7457627118644068	0.7966101694915254	0.7767040173994691	0.027369413156668545	7	8	9	7	7.75	0.82915619758885
98	0.8135593220338984	0.7580645161290323	0.75	0.8	0.7804059595407327	0.02695706927428099	6	8	9	7	7.5	1.118033988749895
99	0.8166666666666667	0.7619047619047619	0.7540983606557377	0.8032786885245902	0.7839871194379391	0.02655694758751163	7	7	9	7	7.5	0.8660254037844386
